RK,SCHOOL,TOTAL REVENUE,TOTAL EXPENSES,TOTAL SUBSIDY,% SUBSIDY
Northwestern State La,"$11,767,380","$12,339,549","$7,615,219",64.71,
Idaho State,"$11,677,809","$11,547,220","$7,421,156",63.55,
Western Illinois,"$11,655,872","$12,094,058","$9,015,057",77.34,
North Carolina Wilmington,"$11,508,302","$11,292,111","$8,513,874",73.98,
California State-Northridge,"$11,484,117","$11,368,128","$10,011,132",87.17,
Eastern Washington,"$11,469,560","$11,538,027","$8,237,849",71.82,
California State-Fullerton,"$11,431,787","$11,431,787","$8,857,839",77.48,
Texas-Arlington,"$11,411,262","$13,970,673","$9,731,470",85.28,
Cleveland State,"$11,290,814","$11,290,814","$9,624,278",85.24,
Western Carolina,"$11,244,361","$11,387,194","$7,672,001",68.23,
Missouri-Kansas City,"$11,235,112","$12,505,431","$9,503,581",84.59,
Louisiana-Monroe,"$11,231,311","$11,439,382","$4,102,322",36.53,
Northern Kentucky,"$11,183,718","$11,183,718","$9,304,768",83.2,
Southern Utah,"$11,116,704","$10,639,948","$8,280,344",74.49,
California State-Bakersfield,"$11,087,482","$10,250,465","$7,423,916",66.96,
VMI,"$11,059,752","$11,615,757","$4,250,911",38.44,
South Dakota,"$11,026,009","$11,022,253","$7,297,727",66.19,
Southeastern Louisiana,"$10,922,554","$10,920,225","$6,535,265",59.83,
Central Arkansas,"$10,769,990","$10,405,098","$7,670,617",71.22,
Austin Peay,"$10,664,764","$9,854,277","$7,339,194",68.82,
Prairie View A&M,"$10,427,016","$10,548,492","$8,218,661",78.82,
Morehead State,"$10,192,319","$10,192,319","$8,680,040",85.16,
Texas Southern,"$10,188,987","$10,188,987","$9,096,448",89.28,
Wright State,"$10,173,926","$10,852,077","$7,766,218",76.33,
South Carolina State,"$10,133,673","$10,136,350","$6,809,371",67.2,
Utah Valley,"$10,053,547","$9,714,656","$8,905,467",88.58,
Southeast Missouri State,"$9,939,846","$9,953,030","$7,282,542",73.27,
Texas A&M-Corpus Christi,"$9,926,048","$9,819,838","$8,084,830",81.45,
McNeese State,"$9,704,926","$10,307,780","$4,492,235",46.29,
North Florida,"$9,541,774","$9,285,469","$7,416,955",77.73,
Arkansas-Little Rock,"$9,403,112","$9,015,885","$6,147,811",65.38,
Morgan State,"$9,299,310","$9,986,863","$7,869,413",84.62,
North Carolina Central,"$9,169,868","$9,147,577","$6,880,877",75.04,
Tennessee-Martin,"$9,087,815","$9,087,815","$6,849,522",75.37,
Longwood,"$9,060,169","$9,326,777","$7,899,544",87.19,
Alcorn State,"$8,926,041","$6,042,709","$7,501,398",84.04,
Texas-Pan American,"$8,844,062","$8,638,656","$7,224,283",81.69,
Southern,"$8,766,440","$7,687,619","$4,746,048",54.14,
Wisconsin-Green Bay,"$8,196,869","$8,075,346","$4,902,120",59.8,
Southern Illinois Edwardsville,"$8,018,927","$7,718,661","$6,484,138",80.86,
Indiana-Purdue Fort Wayne,"$7,878,962","$7,546,796","$6,104,406",77.48,
Savannah State,"$7,505,272","$6,592,913","$5,674,950",75.61,
Alabama A&M,"$7,349,658","$7,349,658","$5,396,160",73.42,
Indiana-Purdue Indianapolis,"$7,308,438","$7,277,608","$6,443,593",88.17,
Arkansas-Pine Bluff,"$7,096,374","$7,318,876","$5,506,001",77.59,
Nicholls State,"$6,962,130","$6,955,658","$4,221,728",60.64,
South Carolina Upstate,"$6,954,621","$7,325,865","$6,020,233",86.56,
Chicago State,"$6,617,545","$5,664,694","$6,228,485",94.12,
Jackson State,"$6,411,728","$6,411,728","$3,759,290",58.63,
Grambling State,"$6,276,068","$7,846,537","$3,633,769",57.9,
North Carolina Asheville,"$5,774,228","$5,894,394","$4,368,909",75.66,
Maryland-Eastern Shore,"$5,332,206","$5,332,206","$4,706,375",88.26,
Mississippi Valley State,"$4,368,954","$4,368,954","$2,821,442",64.58,
New Orleans,"$4,266,761","$4,266,760","$2,958,137",69.33,
Coppin State,"$3,445,532","$3,678,094","$2,609,264",75.73,
